Код;Название;Краткое описание;Производитель;Артикул;Страна происхождения;Раздел 1;Раздел 2; Раздел 3; Остаток;Розничная;Розничная спец;Оптовая;Оптовая спец;Валюта 1;Валюта 2;Валюта 3;Валюта 4;Мин розничная цена;Мин оптовая цена;Размер скидки розн;Размер скидки опт;Количество для заказа (опт);Яндекс.Маркет;Только для розницы;
D00080283;"Адаптер BELAMOS для скважинного насоса PTL 1.25""";;BELAMOS;PTL1.25;Китай;Насосы;Принадлежности для насосов;;1;6229;;4154;;RUB;;RUB;;6229;4154;;;1;0;0
D00020754;Адаптер ET1003A,1004A,1200A;;CHAMPION запчасти;8081-691504-0101710;Китай;Запчасти для садовой техники;Запчасти для триммеров электрических;;1;117;;77;;RUB;;RUB;;117;77;;;1;0;0
F00009030;Адаптер KID30M SIAL;1067009400;Распродажа запчасти;1067009400;Россия;Запчасти для оборудования;Запчасти для тепловых пушек;;1;625;199;562;199;RUB;RUB;RUB;RUB;199;199;68,16;64,5907473309609;1;0;0
F00005684;Адаптер KID60M SIAL;1067009500;Распродажа запчасти;1067009500;Россия;Запчасти для оборудования;Запчасти для тепловых пушек;;1;625;248;562;248;RUB;RUB;RUB;RUB;248;248;60,32;55,8718861209964;1;0;0
P00001330;Адаптер SDS+ для патрона 1/2-20 UNF;;Энкор;10898;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;85;;65;;RUB;;RUB;;85;65;;;1;0;0
D00028250;Адаптер SDS+ для патрона М12-1,25 Калибр;;Калибр;131319;Китай;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;108;;83;;RUB;;RUB;;108;83;;;1;0;0
D00028189;Адаптер быстросъемный Калибр UNIVERSAL black 6мм;;Калибр;050632;Китай;Пневмооборудование;Оснастка и расходники для пневмооборудования;;1;379;;289;;RUB;;RUB;;379;289;;;1;0;0
D00028183;"Адаптер быстросъемный Калибр UNIVERSAL black F1/4""";;Калибр;050631;Китай;Пневмооборудование;Оснастка и расходники для пневмооборудования;;3;272;;207;;RUB;;RUB;;272;207;;;1;0;0
D00032443;"Адаптер быстросъемный Калибр UNIVERSAL black М1/4""";;Калибр;050630;Китай;Пневмооборудование;Оснастка и расходники для пневмооборудования;;1;302;;230;;RUB;;RUB;;302;230;;;1;0;0
D00028190;Адаптер быстросъемный Калибр UNIVERSAL на шланг 6м;;Калибр;050629;Китай;Пневмооборудование;Оснастка и расходники для пневмооборудования;;3;255;;195;;RUB;;RUB;;255;195;;;1;0;0
