Код;Название;Краткое описание;Производитель;Артикул;Страна происхождения;Раздел 1;Раздел 2; Раздел 3; Остаток;Розничная;Розничная спец;Оптовая;Оптовая спец;Валюта 1;Валюта 2;Валюта 3;Валюта 4;Мин розничная цена;Мин оптовая цена;Размер скидки розн;Размер скидки опт;Количество для заказа (опт);Яндекс.Маркет;Только для розницы;
D00073521;Лента бесконечная KK10XW P240 150х1220;;РАСПРОДАЖА;KK10XW P240;Россия;Товары для дома;Хозтовары;;1;;;;;;;;;;;;;1;0;0
D00076341;Очиститель-спрей универсальный ABRO MASTERS;универсальный пенный очиститель;ABRO;FC-577;Китай;Автотовары;Автохимия;;0;591;;443;;RUB;;RUB;;591;443;;;1;0;0
D00074912;KDS-M Рычаг фиксированная зубчатой вставки;;Patriot запчасти;004519855;Россия;Запчасти для электроинструмента;Запчасти для штроборезов;;2;;;;;;;;;;;;;1;0;0
D00083034;STAYER  300 мм, столярный угольник (3430-30);;STAYER;3430-30_z02;Россия;Запчасти для электроинструмента;Запчасти для шлифмашин угловых (УШМ);;2;;;;;;;;;;;;;1;0;0
D00068422;STAYER  8 х 48 мм, 1 шт, бита с торцовой головкой,;;Stayer;26390-08;Китай;Электроинструмент;Оснастка и расходники для электроинструмента;Биты для шуруповертов;1;52;;41;;RUB;;RUB;;52;41;;;1;0;0
D00073254;Аварийный клапан 006032442;;Patriot запчасти;006032442;Россия;Запчасти для оборудования;Запчасти для компрессоров поршневых;;1;;;;;;;;;;;;;1;0;0
D00052572;Авт.регул.напряжения для генераторов AVR 5кВт 1ф;;КЭМ запчасти;143011;Китай;Запчасти для оборудования;Запчасти для генераторов;;1;3438;;2234;;RUB;;RUB;;3438;2234;;;1;0;0
D00078030;Автоклав Домашний Гурман 2в1 20 л  ДомаСами;20 л пищевая  нерж.сталь, манометр, термометр. Для всех видов плит;РАСПРОДАЖА;АвтоклГурман 20  2в1;Россия;УЦЕНКА;Новые товары со скидкой;Бытовая химия, хозтовары;1;10813;8813;8990;6990;RUB;RUB;RUB;RUB;8813;6990;18,496254508462;22,2469410456062;1;0;0
D00034440;Автомат защиты для скважинных насосов 10А;;Aquario запчасти;8553;Россия;Запчасти для насосов;Запчасти для скважинных насосов;;1;433;;304;;RUB;;RUB;;433;304;;;1;0;0
D00031518;Автомат защиты для скважинных насосов 3А;;Aquario запчасти;8546;Россия;Запчасти для насосов;Запчасти для скважинных насосов;;1;327;;229;;RUB;;RUB;;327;229;;;1;0;0
D00020872;Автомат защиты для скважинных насосов 4А;;Aquario запчасти;8547;Россия;Запчасти для насосов;Запчасти для скважинных насосов;;1;327;;229;;RUB;;RUB;;327;229;;;1;0;0
D00031519;Автомат защиты для скважинных насосов 5А;;Aquario запчасти;8548;Россия;Запчасти для насосов;Запчасти для скважинных насосов;;1;343;;241;;RUB;;RUB;;343;241;;;1;0;0
D00074011;Автоматика для компрессора 220В в сборе;;Лидер Запчасти;328120;Россия;Запчасти для оборудования;Запчасти для компрессоров поршневых;;3;1750;;1331;;RUB;;RUB;;1750;1331;;;1;0;0
D00031388;Автошампунь Champion 1л;;Champion;C8125;Россия;Мойки;Автошампуни;;1;270;;207;;RUB;;RUB;;270;207;;;1;0;0
